comfort_discussing_mhd_coworkers,comfort_discussing_mhd_supervisor,discussing_mhd_neg_cons,discussing_phi_neg_cons,taking_serious_mh_ph,having_mhi_hurts_career,gender,age
Maybe,Yes,No,No,I don't know,Maybe,male,39
Maybe,Yes,No,No,Yes,"No, I don't think it would",male,29
Maybe,Maybe,Maybe,No,I don't know,Maybe,male,38
Maybe,No,Yes,Maybe,No,"Yes, I think it would",female,43
Maybe,Yes,Yes,Yes,No,"Yes, I think it would",male,42
Maybe,Yes,No,No,Yes,"Yes, I think it would",male,30
Maybe,Yes,No,No,I don't know,Maybe,female,37
Yes,Maybe,Yes,Yes,No,Maybe,female,44
Maybe,Yes,No,No,Yes,"No, I don't think it would",male,28
No,No,Yes,No,No,"Yes, I think it would",male,34
Yes,Yes,No,No,Yes,"No, it has not",female,30
No,Maybe,No,No,Yes,Maybe,male,44
Yes,Yes,No,No,No,"No, it has not",male,35
Maybe,Maybe,Maybe,Maybe,I don't know,Maybe,male,52
Maybe,Maybe,Maybe,No,No,"Yes, it has",other,32
Yes,Maybe,Maybe,No,No,Maybe,male,34
No,No,Yes,No,Yes,"Yes, I think it would",male,31
Maybe,Yes,No,No,I don't know,"Yes, I think it would",male,26
Maybe,Yes,No,No,I don't know,Maybe,male,35
Maybe,No,Maybe,Maybe,I don't know,Maybe,male,25
Maybe,Maybe,Maybe,No,I don't know,"Yes, I think it would",male,33
No,No,Yes,Yes,No,"Yes, I think it would",male,27
No,No,No,No,I don't know,"Yes, I think it would",male,35
Maybe,Maybe,Maybe,No,I don't know,"Yes, I think it would",female,34
Yes,Yes,No,No,Yes,"Yes, I think it would",other,32
Yes,Yes,No,No,Yes,"No, I don't think it would",male,30
Maybe,Yes,No,No,Yes,"No, I don't think it would",male,36
No,No,Maybe,No,I don't know,"Yes, I think it would",male,33
Yes,Maybe,No,No,Yes,Maybe,male,44
Yes,Yes,No,No,Yes,Maybe,male,29
Maybe,Yes,No,No,I don't know,Maybe,male,29
Yes,Yes,Maybe,No,I don't know,Maybe,male,44
Maybe,Yes,No,No,No,"No, I don't think it would",male,40
Yes,Yes,Yes,Maybe,No,Maybe,female,46
No,No,Maybe,No,No,"Yes, I think it would",male,41
Maybe,Maybe,Maybe,Maybe,No,"Yes, I think it would",male,33
No,Maybe,Maybe,No,I don't know,Maybe,male,45
Yes,Maybe,No,No,I don't know,Maybe,female,37
No,No,Maybe,Maybe,I don't know,"Yes, it has",male,37
Yes,Yes,Maybe,Maybe,I don't know,Maybe,male,27
Maybe,Yes,Maybe,Maybe,Yes,Maybe,male,36
Maybe,Maybe,Maybe,No,I don't know,"Yes, I think it would",male,34
Yes,Yes,Maybe,Maybe,I don't know,Maybe,female,31
Maybe,Yes,Maybe,No,No,"Yes, I think it would",male,32
No,Maybe,No,No,I don't know,"No, I don't think it would",female,40
Maybe,No,Maybe,No,I don't know,Maybe,male,40
Maybe,Yes,No,No,No,"Yes, I think it would",male,41
No,Maybe,Yes,No,No,"Yes, I think it would",male,27
Yes,Yes,No,No,I don't know,Maybe,male,30
Maybe,Maybe,Maybe,No,No,"Yes, I think it would",female,35
No,No,Maybe,Maybe,I don't know,"Yes, I think it would",male,29
No,Maybe,Maybe,Maybe,I don't know,"Yes, I think it would",male,28
No,Yes,No,No,Yes,Maybe,male,27
No,No,Yes,Maybe,No,"Yes, I think it would",male,46
Yes,Yes,No,No,I don't know,Maybe,male,40
Maybe,Yes,No,No,Yes,Maybe,male,37
Maybe,Yes,No,No,I don't know,Maybe,male,41
Yes,Maybe,No,No,Yes,Maybe,female,38
No,No,Maybe,No,No,Maybe,male,33
Maybe,Yes,No,No,Yes,Maybe,male,33
Maybe,Yes,No,No,I don't know,Maybe,male,21
No,No,Maybe,Maybe,I don't know,Maybe,male,36
No,Maybe,Maybe,No,No,Maybe,male,45
Maybe,Maybe,Maybe,No,No,"Yes, I think it would",male,41
No,No,Maybe,No,No,"Yes, it has",male,35
Maybe,Maybe,Maybe,Maybe,I don't know,"Yes, I think it would",male,35
Maybe,Yes,No,No,Yes,Maybe,male,26
No,Yes,Yes,No,No,Maybe,male,17
Maybe,Maybe,No,No,I don't know,"No, I don't think it would",male,26
Maybe,Maybe,No,No,I don't know,"Yes, I think it would",female,36
No,No,No,No,Yes,Maybe,male,46
Maybe,Yes,Maybe,No,No,Maybe,female,28
Yes,Yes,No,No,I don't know,Maybe,male,30
No,No,Maybe,Maybe,I don't know,"Yes, I think it would",female,28
Maybe,No,Maybe,No,No,Maybe,female,39
Maybe,Maybe,Maybe,Maybe,No,Maybe,female,34
Yes,Yes,No,No,I don't know,Maybe,male,31
Yes,Yes,No,No,Yes,Maybe,male,30
Maybe,Maybe,Maybe,Maybe,I don't know,Maybe,male,51
Maybe,Yes,No,No,I don't know,"No, it has not",male,26
Yes,Yes,No,No,Yes,Maybe,female,41
