parent_theme_name,decade,rgb,color_name,part_quantity
4 Juniors,2000,0055BF,Blue,15.0
4 Juniors,2000,05131D,Black,83.0
4 Juniors,2000,05131D,[No Color],17.0
4 Juniors,2000,237841,Green,52.0
4 Juniors,2000,4C61DB,Royal Blue,1.0
4 Juniors,2000,582A12,Reddish Brown,56.0
4 Juniors,2000,6C6E68,Dark Bluish Gray,21.0
4 Juniors,2000,73DCA1,Medium Green,2.0
4 Juniors,2000,84B68D,Trans-Green,1.0
4 Juniors,2000,A0A5A9,Light Bluish Gray,41.0
4 Juniors,2000,AEEFEC,Trans-Light Blue,4.0
4 Juniors,2000,BBA53D,Chrome Gold,12.0
4 Juniors,2000,C91A09,Red,53.0
4 Juniors,2000,C91A09,Trans-Red,2.0
4 Juniors,2000,E0E0E0,Chrome Silver,2.0
4 Juniors,2000,E4CD9E,Tan,1.0
4 Juniors,2000,F2CD37,Yellow,4.0
4 Juniors,2000,F5CD2F,Trans-Yellow,4.0
4 Juniors,2000,F8F184,Trans-Neon Green,1.0
4 Juniors,2000,FF800D,Trans-Neon Orange,10.0
4 Juniors,2000,FFFFFF,White,35.0
9V,2000,0055BF,Blue,264.0
9V,2000,05131D,Black,2301.0
9V,2000,05131D,[No Color],4.0
9V,2000,0A3463,Dark Blue,13.0
9V,2000,237841,Green,376.0
9V,2000,582A12,Reddish Brown,1.0
9V,2000,583927,Brown,223.0
9V,2000,5A93DB,Medium Blue,1.0
9V,2000,635F52,Trans-Black,134.0
9V,2000,6C6E68,Dark Bluish Gray,43.0
9V,2000,6D6E5C,Dark Gray,1058.0
9V,2000,720E0F,Dark Red,6.0
9V,2000,84B68D,Trans-Green,17.0
9V,2000,9BA19D,Light Gray,764.0
9V,2000,9CA3A8,Pearl Light Gray,128.0
9V,2000,A0A5A9,Light Bluish Gray,39.0
9V,2000,AEEFEC,Trans-Light Blue,99.0
9V,2000,BBA53D,Chrome Gold,3.0
9V,2000,C91A09,Red,644.0
9V,2000,C91A09,Trans-Red,68.0
9V,2000,E0E0E0,Chrome Silver,4.0
9V,2000,E4CD9E,Tan,97.0
9V,2000,F2CD37,Yellow,222.0
9V,2000,F5CD2F,Trans-Yellow,56.0
9V,2000,F8F184,Trans-Neon Green,25.0
9V,2000,FCFCFC,Trans-Clear,87.0
9V,2000,FE8A18,Orange,8.0
9V,2000,FFFFFF,White,326.0
Advent,2000,0055BF,Blue,1.0
Advent,2000,05131D,Black,1.0
Advent,2000,5A93DB,Medium Blue,1.0
Advent,2000,F2CD37,Yellow,1.0
Advent,2010,0020A0,Trans-Dark Blue,3.0
Advent,2010,0033B2,Unknown,1.0
Advent,2010,0055BF,Blue,16.0
Advent,2010,05131D,Black,163.0
Advent,2010,078BC9,Dark Azure,1.0
Advent,2010,0A3463,Dark Blue,7.0
Advent,2010,184632,Dark Green,4.0
Advent,2010,237841,Green,73.0
Advent,2010,352100,Dark Brown,15.0
Advent,2010,36AEBF,Medium Azure,45.0
Advent,2010,3F3691,Dark Purple,11.0
Advent,2010,4B9F4A,Bright Green,7.0
Advent,2010,4C61DB,Royal Blue,1.0
Advent,2010,582A12,Reddish Brown,95.0
Advent,2010,5A93DB,Medium Blue,3.0
Advent,2010,6074A1,Sand Blue,1.0
Advent,2010,635F52,Trans-Black,10.0
Advent,2010,6C6E68,Dark Bluish Gray,82.0
Advent,2010,720E0F,Dark Red,10.0
Advent,2010,84B68D,Trans-Green,5.0
Advent,2010,898788,Flat Silver,36.0
Advent,2010,923978,Magenta,18.0
Advent,2010,958A73,Dark Tan,23.0
Advent,2010,9B9A5A,Olive Green,3.0
Advent,2010,9FC3E9,Bright Light Blue,2.0
Advent,2010,A0A5A9,Light Bluish Gray,106.0
Advent,2010,A0BCAC,Sand Green,1.0
Advent,2010,A5A9B4,Metallic Silver,2.0
Advent,2010,A95500,Dark Orange,19.0
Advent,2010,AA7F2E,Pearl Gold,32.0
Advent,2010,AC78BA,Medium Lavender,13.0
Advent,2010,AEEFEC,Trans-Light Blue,10.0
Advent,2010,BBE90B,Lime,10.0
Advent,2010,C870A0,Dark Pink,7.0
Advent,2010,C91A09,Red,85.0
Advent,2010,C91A09,Trans-Red,14.0
Advent,2010,CC702A,Medium Dark Flesh,19.0
Advent,2010,D9E4A7,Trans-Bright Green,2.0
Advent,2010,DBAC34,Metallic Gold,2.0
Advent,2010,DF6695,Trans-Dark Pink,7.0
Advent,2010,E1D5ED,Lavender,2.0
Advent,2010,E4ADC8,Bright Pink,30.0
Advent,2010,E4CD9E,Tan,40.0
Advent,2010,F08F1C,Trans-Orange,4.0
Advent,2010,F2CD37,Yellow,48.0
Advent,2010,F5CD2F,Trans-Yellow,10.0
Advent,2010,F6D7B3,Light Flesh,12.0
Advent,2010,F8BB3D,Bright Light Orange,5.0
Advent,2010,FCFCFC,Trans-Clear,28.0
Advent,2010,FE8A18,Orange,6.0
Advent,2010,FF800D,Trans-Neon Orange,5.0
Advent,2010,FFF03A,Bright Light Yellow,1.0
Advent,2010,FFFFFF,White,254.0
Advent Sub-Set,1990,0020A0,Trans-Dark Blue,6.0
Advent Sub-Set,1990,0055BF,Blue,40.0
Advent Sub-Set,1990,05131D,Black,40.0
Advent Sub-Set,1990,237841,Green,5.0
Advent Sub-Set,1990,84B68D,Trans-Green,6.0
Advent Sub-Set,1990,9BA19D,Light Gray,8.0
Advent Sub-Set,1990,C91A09,Red,40.0
