parent_theme_name,decade,rgb,color_name,part_quantity
Castle,1970,0055BF,Blue,48.0
Castle,1970,05131D,Black,136.0
Castle,1970,237841,Green,7.0
Castle,1970,583927,Brown,5.0
Castle,1970,6D6E5C,Dark Gray,2.0
Castle,1970,9BA19D,Light Gray,125.0
Castle,1970,C91A09,Red,78.0
Castle,1970,F2CD37,Yellow,554.0
Castle,1970,FFFFFF,White,79.0
Castle,1980,0055BF,Blue,287.0
Castle,1980,05131D,Black,1822.0
Castle,1980,237841,Green,166.0
Castle,1980,583927,Brown,275.0
Castle,1980,6D6E5C,Dark Gray,135.0
Castle,1980,9BA19D,Light Gray,2109.0
Castle,1980,C91A09,Red,447.0
Castle,1980,F2CD37,Yellow,864.0
Castle,1980,FFFFFF,White,201.0
Castle,1990,0020A0,Trans-Dark Blue,13.0
Castle,1990,0055BF,Blue,300.0
Castle,1990,05131D,Black,2119.0
Castle,1990,237841,Green,146.0
Castle,1990,583927,Brown,417.0
Castle,1990,6D6E5C,Dark Gray,290.0
Castle,1990,84B68D,Trans-Green,15.0
Castle,1990,9BA19D,Light Gray,1918.0
Castle,1990,BBA53D,Chrome Gold,3.0
Castle,1990,C91A09,Red,484.0
Castle,1990,C91A09,Trans-Red,39.0
Castle,1990,D4D5C9,Glow In Dark Opaque,7.0
Castle,1990,E0E0E0,Chrome Silver,14.0
Castle,1990,F2CD37,Yellow,331.0
Castle,1990,F5CD2F,Trans-Yellow,48.0
Castle,1990,FCFCFC,Trans-Clear,11.0
Castle,1990,FF800D,Trans-Neon Orange,47.0
Castle,1990,FFFFFF,White,199.0
Castle,2000,000000,Speckle Black-Copper,7.0
Castle,2000,000000,Speckle Black-Silver,77.0
Castle,2000,0020A0,Trans-Dark Blue,9.0
Castle,2000,0055BF,Blue,374.0
Castle,2000,05131D,Black,3780.0
Castle,2000,05131D,[No Color],39.0
Castle,2000,0A3463,Dark Blue,212.0
Castle,2000,184632,Dark Green,164.0
Castle,2000,237841,Green,228.0
Castle,2000,352100,Dark Brown,256.0
Castle,2000,3F3691,Dark Purple,100.0
Castle,2000,4B9F4A,Bright Green,6.0
Castle,2000,4C61DB,Royal Blue,67.0
Castle,2000,575857,Pearl Dark Gray,6.0
Castle,2000,582A12,Reddish Brown,1636.0
Castle,2000,583927,Brown,177.0
Castle,2000,5A93DB,Medium Blue,291.0
Castle,2000,6074A1,Sand Blue,50.0
Castle,2000,635F61,Speckle DBGray-Silver,11.0
Castle,2000,6874CA,Blue-Violet,175.0
Castle,2000,6C6E68,Dark Bluish Gray,2300.0
Castle,2000,6C96BF,Chrome Blue,1.0
Castle,2000,6D6E5C,Dark Gray,309.0
Castle,2000,720E0F,Dark Red,549.0
Castle,2000,7988A1,Metal Blue,15.0
Castle,2000,7C503A,Dark Flesh,2.0
Castle,2000,84B68D,Trans-Green,20.0
Castle,2000,898788,Flat Silver,29.0
Castle,2000,958A73,Dark Tan,126.0
Castle,2000,9BA19D,Light Gray,751.0
Castle,2000,9CA3A8,Pearl Light Gray,341.0
Castle,2000,A0A5A9,Light Bluish Gray,3095.0
Castle,2000,A0BCAC,Sand Green,57.0
Castle,2000,A5A9B4,Metallic Silver,59.0
Castle,2000,A95500,Dark Orange,20.0
Castle,2000,AA7F2E,Pearl Gold,203.0
Castle,2000,AE7A59,Copper,50.0
Castle,2000,AEEFEC,Trans-Light Blue,9.0
Castle,2000,B48455,Flat Dark Gold,27.0
Castle,2000,BBA53D,Chrome Gold,62.0
Castle,2000,BDC6AD,Glow In Dark Trans,1.0
Castle,2000,C870A0,Dark Pink,4.0
Castle,2000,C91A09,Red,538.0
Castle,2000,C91A09,Trans-Red,28.0
Castle,2000,CFE2F7,Trans-Medium Blue,1.0
Castle,2000,D4D5C9,Glow In Dark Opaque,2.0
Castle,2000,DBAC34,Metallic Gold,19.0
Castle,2000,DCBC81,Pearl Light Gold,3.0
Castle,2000,E0E0E0,Chrome Silver,20.0
Castle,2000,E4ADC8,Bright Pink,2.0
Castle,2000,E4CD9E,Tan,461.0
Castle,2000,E6E3E0,Very Light Bluish Gray,46.0
Castle,2000,F08F1C,Trans-Orange,13.0
Castle,2000,F2CD37,Yellow,263.0
Castle,2000,F5CD2F,Trans-Yellow,15.0
Castle,2000,F8BB3D,Bright Light Orange,11.0
Castle,2000,F8F184,Trans-Neon Green,6.0
Castle,2000,FA9C1C,Earth Orange,2.0
Castle,2000,FCFCFC,Trans-Clear,55.0
Castle,2000,FE8A18,Orange,5.0
Castle,2000,FF800D,Trans-Neon Orange,201.0
Castle,2000,FFFFFF,White,786.0
Castle,2010,0020A0,Trans-Dark Blue,3.0
Castle,2010,0055BF,Blue,13.0
Castle,2010,05131D,Black,477.0
Castle,2010,05131D,[No Color],1.0
Castle,2010,0A3463,Dark Blue,2.0
Castle,2010,184632,Dark Green,134.0
Castle,2010,237841,Green,46.0
Castle,2010,352100,Dark Brown,146.0
Castle,2010,4B9F4A,Bright Green,6.0
Castle,2010,575857,Pearl Dark Gray,57.0
Castle,2010,582A12,Reddish Brown,1003.0
Castle,2010,5A93DB,Medium Blue,2.0
Castle,2010,6074A1,Sand Blue,14.0
Castle,2010,635F52,Trans-Black,3.0
Castle,2010,6C6E68,Dark Bluish Gray,698.0
Castle,2010,720E0F,Dark Red,25.0
Castle,2010,84B68D,Trans-Green,6.0
Castle,2010,898788,Flat Silver,22.0
Castle,2010,958A73,Dark Tan,98.0
Castle,2010,9CA3A8,Pearl Light Gray,26.0
Castle,2010,A0A5A9,Light Bluish Gray,1092.0
Castle,2010,A0BCAC,Sand Green,3.0
Castle,2010,A5A9B4,Metallic Silver,33.0
Castle,2010,A95500,Dark Orange,16.0
Castle,2010,AA7F2E,Pearl Gold,139.0
Castle,2010,BBA53D,Chrome Gold,8.0
Castle,2010,BBE90B,Lime,5.0
Castle,2010,C870A0,Dark Pink,6.0
Castle,2010,C91A09,Red,288.0
Castle,2010,C91A09,Trans-Red,18.0
Castle,2010,CC702A,Medium Dark Flesh,2.0
Castle,2010,D09168,Flesh,1.0
Castle,2010,DBAC34,Metallic Gold,5.0
Castle,2010,E0E0E0,Chrome Silver,1.0
Castle,2010,E4CD9E,Tan,84.0
Castle,2010,F08F1C,Trans-Orange,13.0
Castle,2010,F2CD37,Yellow,105.0
Castle,2010,F5CD2F,Trans-Yellow,12.0
Castle,2010,F8BB3D,Bright Light Orange,7.0
Castle,2010,FA9C1C,Earth Orange,1.0
Castle,2010,FF800D,Trans-Neon Orange,36.0
Castle,2010,FFFFFF,White,118.0
City,1990,0020A0,Trans-Dark Blue,2.0
City,1990,0055BF,Blue,4.0
City,1990,05131D,Black,1.0
City,1990,AEEFEC,Trans-Light Blue,3.0
City,1990,C91A09,Trans-Red,1.0
City,1990,F2CD37,Yellow,1.0
City,1990,F5CD2F,Trans-Yellow,1.0
City,1990,FFFFFF,White,6.0
City,2000,0020A0,Trans-Dark Blue,344.0
City,2000,0055BF,Blue,1198.0
City,2000,05131D,Black,4039.0
City,2000,05131D,[No Color],36.0
City,2000,0A3463,Dark Blue,12.0
City,2000,237841,Green,482.0
City,2000,352100,Dark Brown,1.0
City,2000,4B9F4A,Bright Green,2.0
City,2000,582A12,Reddish Brown,152.0
City,2000,583927,Brown,2.0
City,2000,5A93DB,Medium Blue,13.0
City,2000,6074A1,Sand Blue,1.0
City,2000,635F52,Trans-Black,364.0
City,2000,6C6E68,Dark Bluish Gray,3253.0
City,2000,6D6E5C,Dark Gray,1.0
City,2000,720E0F,Dark Red,9.0
City,2000,84B68D,Trans-Green,97.0
City,2000,898788,Flat Silver,5.0
City,2000,9BA19D,Light Gray,3.0
City,2000,9CA3A8,Pearl Light Gray,18.0
City,2000,A0A5A9,Light Bluish Gray,3055.0
City,2000,A5A9B4,Metallic Silver,13.0
City,2000,A95500,Dark Orange,2.0
City,2000,AEEFEC,Trans-Light Blue,202.0
City,2000,BBE90B,Lime,35.0
City,2000,C91A09,Red,2018.0
City,2000,C91A09,Trans-Red,397.0
