parent_theme_name,decade,set_num
4 Juniors,2000,292
9V,2000,2067
Advent,1990,1
Advent,2000,17
Advent,2010,884
Advent Sub-Set,1990,210
Advent Sub-Set,2000,2326
Advent Sub-Set,2010,2670
Adventurers,1990,2254
Adventurers,2000,2195
Agents,2010,2219
Alpha Team,2000,1547
Aquazone,1990,1771
Aquazone,2000,1056
Architecture,2010,520
Atlantis,2010,42
Basic Model,2000,489
Basic Model,2010,646
Batman,2000,173
Batman,2010,308
Belville,1990,1526
Belville,2000,2521
Bionicle,2000,9386
Bionicle,2010,589
Books,1960,1
Books,1980,4
Books,1990,1
Bulk Bricks,2000,160
Castle,1970,185
Castle,1980,2111
Castle,1990,2929
Castle,2000,6602
Castle,2010,1514
Christmas,2000,30
Christmas,2010,857
City,1990,16
City,2000,9724
City,2010,24319
Classic,1950,946
Classic,1960,1766
Classic,1970,16
Classic,2010,1206
Classic Town,1970,1835
Classic Town,1980,9541
Classic Town,1990,12298
Classic Town,2000,1117
Classic Town,2010,345
Collectible Minifigures,2010,2602
Creator,2000,12792
Creator,2010,4502
Designer Sets,2000,82
Duplo,1980,31
Duplo,2000,205
Duplo,2010,294
Educational and Dacta,1960,63
Educational and Dacta,1970,100
Educational and Dacta,1980,1003
Educational and Dacta,1990,2420
Educational and Dacta,2000,2155
Educational and Dacta,2010,2147
Fabuland,1970,58
Fabuland,1980,277
Friends,2010,1459
Gear,1990,41
Gear,2000,1195
Gear,2010,2150
Harry Potter,2000,3844
Hero Factory,2010,2463
Indiana Jones,2000,2298
Jack Stone,2000,704
LEGO Brand Store,2000,40
LEGO Brand Store,2010,1802
Legends of Chima,2010,2199
Legoland,1960,104
Legoland,1970,4238
Legoland Parks,2000,337
Mindstorms,1990,1179
Mindstorms,2000,1112
Mindstorms,2010,645
Mini,2000,355
Mini,2010,616
Mixels,2010,2677
Model,1980,1174
Model,1990,6663
Model,2000,9512
Model,2010,5707
Modular Buildings,2010,805
Ninjago,2010,417
Pirates,1980,455
Pirates,1990,2190
Pirates,2000,984
Pirates,2010,1130
Pirates I,1980,385
Pirates I,1990,857
Pirates I,2000,344
Planet Series 4,2010,164
Racers,1990,256
Racers,2000,11670
Racers,2010,2740
Sculptures,2000,111
Sculptures,2010,7
Seasonal,1970,45
Seasonal,1980,90
Seasonal,1990,590
Seasonal,2000,1350
Seasonal,2010,4709
Service Packs,1970,49
Service Packs,1980,465
Service Packs,1990,1043
Service Packs,2000,166
Service Packs,2010,16
Space,1970,1089
Space,1980,5459
Space,1990,5982
Space,2000,4218
Space,2010,3155
Spider-Man,2000,106
Sports,1990,385
Sports,2000,3597
Star Wars,1990,1111
Star Wars,2000,15378
Star Wars,2010,22154
Studios,2000,181
Super Heroes,2000,3003
Super Heroes,2010,16781
Supplemental,1960,101
Supplemental,1970,31
Supplemental,1980,118
Supplemental,1990,16
Supplemental,2000,27
Supplemental,2010,3
Technic,1970,1228
Technic,1980,1881
Technic,1990,2247
Technic,2000,1719
Technic,2010,1238
The Hobbit,2010,2368
The Hobbit and Lord of the Rings,2010,64
The Lord of the Rings,2010,1989
Town,1980,16
Town,1990,5944
Town,2000,2025
Town,2010,5753
Town Jr.,1990,2531
Town Jr.,2000,615
Train,1960,795
Train,1970,1115
Train,1980,2375
Train,1990,3499
Train,2000,1416
Train,2010,1105
Ultimate Collector Series,2000,2971
Ultimate Collector Series,2010,2197
Universal Building Set,1960,139
Universal Building Set,1970,2504
Universal Building Set,1980,5206
Universal Building Set,1990,6825
Universal Building Set,2000,245
Vehicle,1960,598
Western,1990,1178
Western,2000,461
World City,2000,2382
World Racers,2010,9
X-Pod,2000,138
